name,stuff,bv,difficulty,tags,methods,tools,
电饭煲版广式腊肠煲饭,腊肠、米,BV1NE411Q7Jj,简单,广式,煲,电饭煲,
电饭煲版烧鸡,鸡肉、洋葱、菌菇,BV1T54y1U7Cu,简单,好吃,,电饭煲,
电饭煲焖面,猪肉、面食,BV14b411q7rM,简单,筋道,,电饭煲,
电饭煲版番茄牛腩焖饭,牛肉、番茄、米,BV1Bv411C7X3,简单,懒人,,电饭煲,
电饭煲版蜜汁鸡翅,鸡肉,BV1dj411f7sR,简单,懒人,,电饭煲,
电饭煲版南瓜鸡腿焖饭,鸡肉、洋葱、菌菇、米,BV1Bv411C7X3,简单,懒人,,电饭煲,
电饭煲版土豆排骨焖饭,猪肉、土豆、米、腊肠,BV1Bv411C7X3,简单,懒人,,电饭煲,
电饭煲版香菇腊肠焖饭,腊肠、菌菇、洋葱、米、土豆,BV1Bv411C7X3,简单,懒人,,电饭煲,
电饭煲版香卤牛肉,牛肉、米,BV1dR4y1F7H2,简单,卤味,煮,电饭煲,
电饭煲叉烧排骨,猪肉、洋葱,BV1Ab4y1p7dw,简单,下饭,,电饭煲,
电饭煲版红烧肉,猪肉,BV1SW411t7AX,,,,电饭煲,
电饭煲版可乐鸡翅,鸡肉,BV16J411U79k,,,,电饭煲,
电饭煲版蛋糕（废手版）,鸡蛋、面食,BV1H7411V7Pz,简单,香软,,电饭煲,
电饭煲卤菜（开店级别）,鸡肉、鸡蛋、米,BV1ZA411E7KT,简单,小吃,,电饭煲,
电饭煲卤肉蛋豆腐,鸡肉、鸡蛋、豆腐、米,BV1aM4y1L7QR,简单,小吃,,电饭煲,
电饭煲版罗宋汤,牛肉、番茄、洋葱、芹菜、胡萝卜、土豆、包菜、香肠,BV16Q4y1m7nU,简单,杂烩,,电饭煲,
电饭煲版一只番茄饭,土豆、胡萝卜、香肠、番茄、鸡蛋、米,BV1dj411f7sR,简单,杂烩,,电饭煲,
电饭煲茄子烧肉焖饭,猪肉、茄子、番茄、土豆、洋葱、米,BV18T4y1c7s1,普通,杂烩,,电饭煲,
电饭煲版茶叶蛋,鸡蛋,BV12W411R7LA,,,,电饭煲,
电饭煲版番茄炖排骨,番茄、猪肉、米,BV1av411r7mL,,,,电饭煲,
电饭煲版番茄牛腩,番茄、牛肉、米,BV18i4y1g7sp,,,,电饭煲,
电饭煲版干妈炒泡面,方便面、鸡蛋,BV1kW411r7Py,简单,,,电饭煲,
电饭煲版红烧肉,猪肉、米,BV1SW411t7AX,,,,电饭煲,
电饭煲版胡萝卜腊肠饭,胡萝卜、腊肠、米,BV1tW411b7LS,,,,电饭煲,
电饭煲版卤鸡翅,鸡肉,BV1UK4y1Y7aC,简单,,卤,电饭煲,
电饭煲版焖鸡腿土豆,鸡肉、土豆,BV1tR4y1g7kv,简单,,,电饭煲,
电饭煲版蜜汁叉烧肉,猪肉、米,BV1ci4y1j7Rz,简单,,,电饭煲,
电饭煲版蜜汁鸡腿,鸡肉,BV1A4411k7iz,普通,,,电饭煲,
电饭煲版牛腩萝卜清汤,牛肉、白萝卜,BV16Q4y1m7nU,,,,电饭煲,
电饭煲版茄子猪肉焖面,茄子、猪肉、面食,BV1ib41137ig,复杂,,,电饭煲,
电饭煲版肉饼蛋,猪肉、鸡蛋,BV13W411a7Ax,普通,,,电饭煲,
电饭煲版上海菜饭,猪肉、腊肠、米、包菜、莴笋,BV1mW411x7F7,,,,电饭煲,
电饭煲版蒜蓉排骨,猪肉、米、,BV1Dv411T7bD,,,,电饭煲,
电饭煲版土豆香肠焖饭,土豆、香肠、米,BV1Kv411q7BM,简单,,,电饭煲,
电饭煲版吐司（尽量不做，废手）,鸡蛋、面包,BV1vY41137F1,困难,,,电饭煲,
电饭煲叉烧肉（叉烧酱版）,猪肉、米,BV127411W75D,普通,,,电饭煲,
电饭煲温泉蛋,鸡蛋,BV1EJ411Y7fU,,,,电饭煲,
电饭煲窝蛋牛肉饭,牛肉、鸡蛋、米,BV1aA411q7b9,简单,,,电饭煲,
电饭锅酱牛肉,牛肉、米饭,BV1sv411C7qW,,,,电饭煲,
烤箱版M记同款薯条,土豆,BV1nA411P7aX,,同款,,烤箱,
空心小薯片,土豆、鸡蛋,BV1N5411D79P,,零食,烘,烤箱,
气泡小土豆,土豆,BV1sL41137jN,简单,零食,烘,烤箱,
烤箱版M记同款麦乐鸡,土豆、鸡肉、鸡蛋,BV19v411J7MG,,同款,,烤箱,
烤箱版KFC同款香辣鸡翅,鸡肉,BV1jA4y197RR,,同款,,烤箱,
烤箱版M记同款薯饼,土豆,BV1qy4y1y7Mn,,同款,,烤箱,
烤箱烧烤,土豆、胡萝卜、花菜、西葫芦、芹菜、洋葱、莴笋、菌菇、茄子、包菜、午餐肉、香肠、鸡肉、猪肉、虾、牛肉、鸡肉,BV17P4y1W7Ze,,杂烩,,烤箱,
烤箱迎客菜,牛肉、茄子、鸡肉、鸡蛋、豆腐、菌菇、番茄,BV1ug4y1B7CR,,杂烩,,烤箱,
爆浆鸡腿,鸡肉,BV1ju411X7mx,复杂,,烤,烤箱,
BBQ烤鸡腿,鸡肉,BV1Zr4y1B7UQ,简单,,烤,烤箱,
BBQ烟熏手撕猪肉,猪肉,BV1DV411x7SH,复杂,,烤,烤箱,
馋嘴烤箱版烧烤,土豆、鸡肉,BV1wv411h7d6,普通,,烤,烤箱,
脆皮五花肉和蜜汁叉烧,猪肉,BV17u411i7jF,普通,,烤,烤箱,
法棍,面包,BV1Kc411h7eJ,普通,,,烤箱,
汉堡面包,鸡蛋、面包,BV1ga411h7cw,普通,,,烤箱,
火山熔岩蛋,土豆、鸡蛋,BV1Xy4y1L7ok,困难,,烘,烤箱,
