name,stuff,link,difficulty,tags,methods,tools
干锅土豆片,土豆、猪肉,https://www.bilibili.com/video/BV1ZZ4y1A7HK,简单,下饭,炒,一口大锅
土豆丝饼,土豆,https://www.bilibili.com/video/BV1MW411L7GA,普通,早餐,煎,一口大锅
气泡小土豆,土豆,https://www.bilibili.com/video/BV1sL41137jN,简单,零食,烘,烤箱
酸辣土豆丝,土豆,https://www.bilibili.com/video/BV1wq4y1W7QA,普通,家常菜,炒,一口大锅
可乐饼,土豆、洋葱、肉、鸡蛋,https://www.bilibili.com/video/BV1yW411Q7sa,普通,日式菜,炸,一口大锅
千层土豆,土豆,https://www.bilibili.com/video/BV1nb4y147D6,困难,,炸,一口大锅
土豆挞,土豆,https://www.bilibili.com/video/BV1fY41187Xo,普通,,烘,烤箱
千层土豆烘蛋,土豆、鸡蛋,https://www.bilibili.com/video/BV1fY41187Xo,困难,,烘,烤箱
芝士焗土豆,土豆、香肠,https://www.bilibili.com/video/BV1DL4y1j7Nu,,,烘,烤箱、空气炸锅
土豆拌饭,土豆、香肠、米饭,https://www.bilibili.com/video/BV1YD4y1c7ip,简单,,炒,一口大锅
炸薯卷,土豆、香肠,https://www.bilibili.com/video/BV1Na4y1a7LA,简单,,炸,一口大锅
煎土豆,土豆,https://www.bilibili.com/video/BV15s411A7GB,,,炸,一口大锅
空心小薯片,土豆、鸡蛋、米饭,https://www.bilibili.com/video/BV1N5411D79P,,零食,烘,烤箱
香辣土豆片,土豆,https://www.bilibili.com/video/BV1Sq4y137uw,,下饭,煮,一口大锅
肉末土豆,土豆、肉,https://www.bilibili.com/video/BV1ZS4y127wm,,下饭,炒,一口大锅
灵魂土豆丸子,土豆,https://www.bilibili.com/video/BV1Z64y1674r,,零食,蒸,一口大锅
火山熔岩蛋,土豆、鸡蛋,https://www.bilibili.com/video/BV1Xy4y1L7ok,困难,,烘,烤箱
薯条,土豆,https://www.bilibili.com/video/BV1fY41187Xo,普通,,炸,一口大锅
土豆烧红肉,土豆、猪肉,https://www.bilibili.com/video/BV1fY41187Xo,普通,家常菜,炖,一口大锅
土豆芝士棒,土豆、香肠,https://www.bilibili.com/video/BV1DL4y1j7Nu,困难,,烘,烤箱
空气土豆,土豆,https://www.bilibili.com/video/BV1RL411E7Uv,困难,,炸,一口大锅
金丝午餐肉,土豆、午餐肉,https://www.bilibili.com/video/BV1W34y1k7Bg,普通,,炸,一口大锅
孜然土豆火腿,土豆、香肠,https://www.bilibili.com/video/BV1k44y147kM,简单,下饭,炸,一口大锅
罗宋汤,土豆、洋葱、胡萝卜、芹菜,https://www.bilibili.com/video/BV1gP4y1T7Z7,简单,汤,煮,一口大锅
土豆拌茄子,土豆、茄子,https://www.bilibili.com/video/BV1VT4y1J7Y8,简单,凉菜,蒸,一口大锅
黑椒土豆泥,土豆,https://www.bilibili.com/video/BV1q7411K7gr,简单,单一食材,蒸,一口大锅
酱土豆,土豆,https://www.bilibili.com/video/BV1YD4y1c7ip,简单,单一食材,炒,一口大锅
麻辣土豆片,土豆,https://www.bilibili.com/video/BV1fY41187Xo,简单,单一食材,煮,一口大锅
老奶洋芋,土豆,https://www.bilibili.com/video/BV1fY41187Xo,简单,单一食材,炒,一口大锅
牧羊人派,土豆、猪肉,https://www.bilibili.com/video/BV1fY41187Xo,普通,,,一口大锅
土豆泥厚蛋烧,土豆、鸡蛋,https://www.bilibili.com/video/BV1DL4y1j7Nu,困难,,煎,一口大锅
炸土豆片,土豆,https://www.bilibili.com/video/BV1mt4y1i7Zr,简单,单一食材,煎,一口大锅
薯球,土豆,https://www.bilibili.com/video/BV1bY4y1H7L9,普通,单一食材,炸,一口大锅
土豆派,土豆,https://www.bilibili.com/video/BV1bY4y1H7L9,简单,单一食材,烘,一口大锅
土豆烧牛腩,土豆、牛肉,https://www.bilibili.com/video/BV1qs411u7gj,普通,,炒,一口大锅
土豆杂蔬烘蛋,土豆、番茄、胡萝卜、香肠,https://www.bilibili.com/video/BV1Y5411S7mu,简单,早餐,烘,烤箱、空气炸锅
土豆丝饼,土豆,https://www.bilibili.com/video/BV1fY41187Xo,简单,早餐,煎,一口大锅
洋芋擦擦,土豆、胡萝卜,https://www.bilibili.com/video/BV1fY41187Xo,普通,西北特色,蒸,一口大锅
火烧云油焖鸡,土豆、番茄、鸡肉,https://www.bilibili.com/video/BV1fY41187Xo,普通,好吃,煮,一口大锅
薯塔,土豆,https://www.bilibili.com/video/BV1uF411v7SQ,普通,零食,炸,一口大锅
金针菇菜卷,菌菇、胡萝卜、包菜,https://www.bilibili.com/video/BV1aW411H7fZ,简单,快手菜,,一口大锅
口蘑鸡胸肉,菌菇、鸡胸肉,https://www.bilibili.com/video/BV1AP4y1w7y6,简单,快手菜,煎,一口大锅
椒盐炸蘑菇,菌菇、鸡蛋,https://www.bilibili.com/video/BV1P54y1L7FS,简单,单一食材,炸,一口大锅
潮汕杂菇煲,菌菇、猪肉,https://www.bilibili.com/video/BV15E411K7B5,简单,,炒,一口大锅
烤蘑菇,菌菇、洋葱、猪肉,https://www.bilibili.com/video/BV1T3411e7VG,普通,,烤,空气炸锅
口蘑汤,菌菇,https://www.bilibili.com/video/BV1e64y1h776,简单,汤,煎、炖,一口大锅
蘑菇浓汤,蘑菇、洋葱、芹菜,https://www.bilibili.com/video/BV1Ut411C7Cu,普通,汤,炖,一口大锅
蒜香口蘑牛肉粒,蘑菇、牛肉,https://www.bilibili.com/video/BV1Nm4y197ev,简单,荤素搭配,炒,一口大锅
浇汁西兰花,花菜,https://www.bilibili.com/video/BV1jq4y1M7jR,简单,单一食材,煮,一口大锅
蒜蓉西兰花,花菜,https://www.bilibili.com/video/BV1fy4y1W7z5,简单,单一食材,炒,一口大锅
西兰花炒虾仁,花菜、虾,https://www.bilibili.com/video/BV1nv411B78i,简单,,炒,一口大锅
白灼西兰花,花菜,https://www.bilibili.com/video/BV1o4411A7dC,简单,健康,煮,一口大锅
鸡蛋西兰花豆腐羹,花菜、豆腐、鸡蛋,https://www.bilibili.com/video/BV164411g77n,简单,,炖,一口大锅
水波蛋,鸡蛋,https://www.bilibili.com/video/BV1TT4y127vu,简单,,煮,一口大锅
炸蛋,鸡蛋,https://www.bilibili.com/video/BV1TT4y127vu,简单,,炸,一口大锅
铺盖打蛋,鸡蛋,https://www.bilibili.com/video/BV1TT4y127vu,,,炒,一口大锅
鸡蛋蒜,鸡蛋,https://www.bilibili.com/video/BV1TT4y127vu,,,炒,一口大锅
